CustomerID,Recency,Frequency,MonetaryValue
12747,1.0986122886681098,3.2188758248682006,6.855092626398831
12748,0.0,6.78897174299217,8.860238066562745
12749,1.3862943611198906,3.6109179126442243,6.701284461955179
12820,1.3862943611198906,2.833213344056216,5.591061604592083
12822,4.2626798770413155,2.1972245773362196,4.984633491557255
12823,5.6937321388027,0.0,5.723585101952381
12824,4.0943445622221,1.791759469228055,4.667017589314171
12826,1.0986122886681098,2.772588722239781,5.608225597757984
12827,3.4965075614664802,0.6931471805599453,3.796612153916818
12828,2.0794415416798357,2.4849066497880004,5.275048739608683
12829,5.820082930352362,0.6931471805599453,4.562262684976814
12830,4.5217885770490405,2.302585092994046,7.454673651995998
12832,3.4965075614664802,1.6094379124341003,4.210645017918261
12833,4.983606621708336,1.6094379124341003,4.465908118654584
12834,5.645446897643238,2.1972245773362196,5.081404364984463
12836,4.0943445622221,3.5263605246161616,6.372517419983036
12837,5.159055299214529,0.6931471805599453,2.3561258599220753
12838,3.5263605246161616,2.833213344056216,4.128907006571212
12839,1.0986122886681098,3.9889840465642745,6.853964130711315
12840,4.969813299576001,2.9444389791664403,6.130487085756784
12841,1.6094379124341003,4.248495242049359,6.4472266200989194
12842,4.2626798770413155,2.0794415416798357,5.414053865030634
12843,5.075173815233827,3.091042453358316,5.9546708862789695
12844,3.4011973816621555,1.9459101490553132,3.6389010843076948
12845,5.594711379601839,1.3862943611198906,5.3986150878634005
12847,3.1354942159291497,2.6390573296152584,4.813890216636577
12849,3.4657359027997265,2.70805020110221,5.586311890181863
12851,4.574710978503383,2.5649493574615367,3.386760333864386
12852,5.68697535633982,0.6931471805599453,3.4827773686545784
12853,4.90527477843843,2.4849066497880004,5.457370296402637
12854,4.3694478524670215,3.044522437723423,5.76522245025589
12856,2.0794415416798357,4.1588830833596715,5.9976454061830635
12857,5.351858133476067,2.3978952727983707,5.648445929616735
12863,3.970291913552122,0.0,3.5496173867804286
12864,4.9344739331306915,0.0,2.856470206220483
12867,3.295836866004329,4.653960350157523,6.619126091491806
12868,5.225746673713202,2.772588722239781,5.177899613068897
12871,4.442651256490317,1.6094379124341003,4.259011183777335
12872,5.7899601708972535,1.791759469228055,4.29592393562047
12873,5.645446897643238,0.0,4.624972813284271
12877,1.3862943611198906,3.4965075614664802,5.44979304317089
12878,5.4680601411351315,2.0794415416798357,5.160777952525975
12879,4.5217885770490405,0.6931471805599453,4.259859000699675
12883,3.2188758248682006,2.302585092994046,5.226713947688344
12884,4.48863636973214,0.0,3.459466289786131
12885,4.1588830833596715,2.995732273553991,5.890206715033755
12886,4.219507705176107,2.4849066497880004,5.358424207280155
12890,3.2188758248682006,2.5649493574615367,3.9865737366924425
12893,3.4339872044851463,1.9459101490553132,3.0155349008501706
12895,3.7612001156935624,1.791759469228055,4.678885223810372
12901,2.3978952727983707,3.332204510175204,8.201676642551606
12902,5.579729825986222,1.3862943611198906,3.7383836490170252
12904,2.9444389791664403,2.70805020110221,4.167440117292652
12906,2.4849066497880004,2.772588722239781,6.204295101813748
12909,4.477336814478207,2.9444389791664403,6.4364868502146
12910,4.174387269895637,2.4849066497880004,6.176407664606888
12912,2.1972245773362196,1.0986122886681098,5.089816091970697
12913,1.6094379124341003,2.4849066497880004,6.426132407024241
12915,5.003946305945459,0.6931471805599453,3.580737295494233
12916,4.9344739331306915,3.1780538303479458,6.550194228281027
12919,2.1972245773362196,1.791759469228055,4.895897616625833
12920,2.8903717578961645,1.0986122886681098,3.152736022363656
